user,comments
consideRatio,60
ablekh,32
choldgraf,20
minrk,11
betatim,8
manics,8
willingc,5
frouzbeh,5
joshbode,4
jtpio,4
manycoding,3
alexmorley,3
sgibson91,3
abdidarmawan007,3
clkao,3
mfhm,2
ryanlovett,2
wierzba3,2
hickst,2
amit1rrr,1
akhmerov,1
FCtj,1
ianalis,1
daldridge-cs,1
divatemangesh,1
hnykda,1
kfox1111,1
lesteve,1
metrofun,1
rabernat,1
sciffer,1
szelenka,1
trallard,1
AbhinavanT,1
