user,comments
choldgraf,20
betatim,19
yuvipanda,16
rgbkrk,11
jhamman,7
minrk,6
ltetrel,4
captainsafia,3
slejdops,2
cboettig,2
mrakitin,1
jamesmyatt,1
isuruf,1
d-diaz,1
chrisfilo,1
LennertSchepers,1
