user,comments
consideRatio,38
choldgraf,12
manics,12
minrk,11
hnykda,10
stefansedich,5
betatim,3
tregin,3
farzadz,2
jflam,2
joshbode,2
yuvipanda,2
arokem,2
stelford,2
amanda-tan,2
dalssaso,1
cam72cam,1
anton-khodak,1
canhtran,1
captainsafia,1
KVSSetty,1
awalther,1
hhuuggoo,1
danielchalef,1
djgagne,1
frafi82,1
willingc,1
jmatuskey,1
jspc,1
kavemun,1
koen92,1
manycoding,1
terhorst,1
tmshn,1
01100010011001010110010101110000,1
